cellBC	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9
f3_DEW116_bcCTUB	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcCZRT	0	0	3	46	47	44	40	50	26	3
f3_DEW116_bcDDFB	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcDEEY	26	17	20	36	38	37	33	41	20	13
f3_DEW116_bcDFNX	0	0	3	15	14	15	14	16	0	3
f3_DEW116_bcDVIM	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcDVZO	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcDXVZ	0	0	3	15	14	15	14	16	0	3
f3_DEW116_bcDZVS	11	0	9	12	11	12	12	12	0	10
f3_DEW116_bcEGSM	29	0	8	40	42	41	36	45	23	23
f3_DEW116_bcEICU	16	0	9	15	14	15	14	16	0	16
f3_DEW116_bcEIDT	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcENEP	0	42	40	72	74	74	62	84	43	3
f3_DEW116_bcENKU	0	42	40	72	74	74	62	84	43	3
f3_DEW116_bcENST	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcERQC	30	0	3	20	20	20	0	49	0	3
f3_DEW116_bcETEN	7	10	13	23	24	24	21	26	0	32
f3_DEW116_bcFARM	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcFBOR	5	5	6	6	6	6	6	6	4	7
f3_DEW116_bcFEIM	0	10	13	23	58	56	48	64	33	3
f3_DEW116_bcFJRF	0	0	9	73	75	0	0	22	0	10
f3_DEW116_bcFPKD	34	25	8	48	49	45	0	52	0	3
f3_DEW116_bcFUBC	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcFVNG	37	0	7	0	0	0	0	0	0	14
f3_DEW116_bcGBUJ	42	0	9	61	62	60	53	69	34	7
f3_DEW116_bcGCZP	24	0	8	74	76	75	63	85	0	13
f3_DEW116_bcGIKO	0	0	3	11	0	11	11	11	6	3
f3_DEW116_bcGJAO	5	5	6	6	6	6	6	6	4	7
f3_DEW116_bcGJDE	9	7	8	16	15	16	15	17	8	3
f3_DEW116_bcGKCE	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcGMDH	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcGTPB	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcGZDY	0	0	41	75	77	76	64	86	44	3
f3_DEW116_bcHAIC	57	43	42	76	78	77	65	87	0	3
f3_DEW116_bcHAZP	32	0	8	0	0	0	56	73	0	13
f3_DEW116_bcHECM	5	5	6	6	6	6	6	6	4	7
f3_DEW116_bcHEIB	11	0	9	12	11	12	12	12	0	10
f3_DEW116_bcHHMF	5	5	6	6	6	6	6	6	4	7
f3_DEW116_bcHLLE	0	0	3	8	8	8	8	8	0	3
f3_DEW116_bcHPUR	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcHPWJ	2	2	2	2	2	2	2	2	2	2
f3_DEW116_bcHWGR	0	0	9	0	0	0	0	0	0	7
f3_DEW116_bcIFXD	58	44	43	77	79	78	66	88	45	29
f3_DEW117_bcAACK	0	0	3	39	41	40	0	89	0	3
f3_DEW117_bcAACW	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcABEK	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcABSV	0	0	7	20	20	20	56	73	0	0
f3_DEW117_bcABVK	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcAFXO	41	0	7	78	80	79	67	90	0	26
f3_DEW117_bcAMNB	52	0	8	15	14	15	14	16	0	13
f3_DEW117_bcAPEV	0	0	9	79	81	80	68	91	0	7
f3_DEW117_bcAQTY	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcARCV	17	11	15	25	25	25	22	27	0	18
f3_DEW117_bcBAED	0	0	8	0	0	0	56	73	0	3
f3_DEW117_bcBDKS	59	0	7	0	0	81	0	29	0	33
f3_DEW117_bcBHRU	0	0	7	0	65	69	0	78	0	8
f3_DEW117_bcBQIQ	0	0	12	0	0	0	0	0	0	24
f3_DEW117_bcBTGI	60	45	8	80	82	82	69	92	46	3
f3_DEW117_bcBVZF	0	0	9	20	20	20	0	81	0	7
f3_DEW117_bcCBUT	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcCEJX	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcCFKR	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcCFLM	27	18	21	59	60	58	51	67	0	22
f3_DEW117_bcCMWP	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcCTAZ	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcCWAL	7	46	44	81	65	83	70	93	0	34
f3_DEW117_bcCZIN	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcDBWY	0	0	7	82	0	52	44	60	31	35
f3_DEW117_bcDISO	30	0	3	83	83	84	71	94	47	3
f3_DEW117_bcDKEJ	29	0	8	40	42	41	36	45	23	23
f3_DEW117_bcDLPE	26	17	20	36	38	37	33	41	20	13
f3_DEW117_bcDMYQ	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcDNQA	54	39	37	65	0	72	60	82	41	30
f3_DEW117_bcDOPP	61	47	45	84	84	85	72	95	48	3
f3_DEW117_bcDQXS	0	0	9	20	20	20	0	22	0	10
f3_DEW117_bcDSSF	0	48	46	85	85	86	73	96	0	19
f3_DEW117_bcDWAJ	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcDYLP	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcDZKZ	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcEEUF	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcEFQE	46	0	8	45	46	87	74	97	49	13
f3_DEW117_bcEHMN	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcEKKV	0	0	9	0	0	0	0	0	0	36
f3_DEW117_bcEKRC	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcEMMX	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcENSQ	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcEWGG	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcEYYI	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcEZKR	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFAFS	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFFBY	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcFGGU	29	32	31	62	64	61	0	70	35	23
f3_DEW117_bcFJZO	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFKJP	0	0	9	0	0	0	0	0	0	7
f3_DEW117_bcFLQJ	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcFOBZ	0	0	3	8	8	8	8	8	0	3
f3_DEW117_bcFOQI	7	0	7	0	0	3	0	98	0	17
f3_DEW117_bcFTRU	46	0	8	64	66	52	44	60	31	13
f3_DEW117_bcFUVL	0	0	3	86	9	9	9	9	0	3
f3_DEW117_bcFVLK	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFWMC	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFWYI	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFXLW	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcFYNJ	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcFZUJ	15	9	7	19	19	19	17	21	10	14
f3_DEW117_bcGAOI	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcGCWB	24	23	8	0	86	88	75	99	50	13
f3_DEW117_bcGFJJ	11	0	9	12	11	12	12	12	0	10
f3_DEW117_bcGQPB	0	0	3	11	0	11	11	11	6	3
f3_DEW117_bcGWNC	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcHBJH	0	0	3	0	0	0	0	75	51	12
f3_DEW117_bcHCSB	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcHDBG	0	0	3	15	14	15	14	16	0	3
f3_DEW117_bcHEHJ	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcHMCO	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcHMIA	0	0	9	0	0	0	0	0	0	7
f3_DEW117_bcHPGX	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcHPVP	26	17	20	36	38	37	33	41	20	13
f3_DEW117_bcHRKW	62	49	47	87	87	89	76	100	52	3
f3_DEW117_bcHURU	17	11	15	25	25	25	22	27	0	18
f3_DEW117_bcHVLT	63	0	9	88	88	90	77	101	0	37
f3_DEW117_bcHVOF	5	5	6	6	6	6	6	6	4	7
f3_DEW117_bcIAEZ	2	2	2	2	2	2	2	2	2	2
f3_DEW117_bcIIBN	0	0	3	46	47	44	40	50	26	3
f3_DEW117_bcIIDR	0	50	48	89	89	91	78	102	0	26
f3_DEW117_bcIIPX	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcABKX	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcACWC	13	0	9	90	90	92	0	19	0	8
f3_DEW118_bcAEMT	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcAFKT	11	0	9	12	11	12	12	12	0	10
f3_DEW118_bcAFZV	0	0	3	46	47	44	40	50	26	3
f3_DEW118_bcAJVF	0	0	3	46	47	44	40	50	26	3
f3_DEW118_bcAPBL	17	11	15	25	25	25	22	27	0	18
f3_DEW118_bcAPKL	0	0	9	15	14	15	14	16	0	26
f3_DEW118_bcAQAL	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcARLY	63	0	7	0	0	93	79	103	53	37
f3_DEW118_bcASIZ	29	0	8	40	42	41	36	45	23	23
f3_DEW118_bcBCEM	63	0	9	88	88	90	77	101	0	37
f3_DEW118_bcBEXG	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcBFKI	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcBHYD	64	51	49	91	91	94	80	104	54	38
f3_DEW118_bcBIWW	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcBJUJ	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcBOTE	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcBOXT	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcBPDY	0	52	8	0	0	0	0	0	0	13
f3_DEW118_bcBPON	20	0	3	29	30	29	25	32	13	3
f3_DEW118_bcBYVJ	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcCGRT	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcCKFL	65	0	7	92	92	95	81	105	0	14
f3_DEW118_bcCLBY	0	0	50	93	93	96	82	106	0	3
f3_DEW118_bcCPQA	34	25	8	52	43	49	0	52	0	3
f3_DEW118_bcCSDV	0	0	8	0	0	0	0	107	0	13
f3_DEW118_bcCUWJ	17	11	15	25	25	25	22	27	0	18
f3_DEW118_bcCYIU	26	17	20	36	38	37	33	41	20	13
f3_DEW118_bcCYKF	13	0	9	18	17	18	0	19	0	8
f3_DEW118_bcCZJH	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcDCBC	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcDGSA	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcDGXH	7	10	13	23	51	47	43	55	28	17
f3_DEW118_bcDMJI	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcDNDF	0	0	9	0	0	0	0	0	0	7
f3_DEW118_bcDOJV	0	22	23	43	44	42	38	47	24	7
f3_DEW118_bcDRLL	0	0	3	39	41	40	0	89	0	3
f3_DEW118_bcDSJI	20	0	3	18	94	97	0	22	0	3
f3_DEW118_bcDTOG	46	0	8	64	66	52	44	60	31	13
f3_DEW118_bcDZZC	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcECZO	29	32	31	62	64	61	0	70	35	23
f3_DEW118_bcEDQH	0	0	8	20	20	20	0	108	0	13
f3_DEW118_bcEDYJ	66	53	51	94	95	98	83	109	0	14
f3_DEW118_bcELAY	0	0	8	28	28	27	23	30	12	3
f3_DEW118_bcEOQB	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcEOYN	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcEPGR	0	0	9	0	0	0	0	0	0	7
f3_DEW118_bcERRD	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcEUAI	31	54	52	95	96	99	0	44	0	13
f3_DEW118_bcEWAZ	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcFAJK	34	25	8	52	43	49	0	52	0	3
f3_DEW118_bcFANH	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcFBLS	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcFEGN	13	0	9	18	17	18	0	19	0	8
f3_DEW118_bcFGAO	42	55	7	0	29	28	24	31	0	8
f3_DEW118_bcFGGN	0	0	3	0	0	0	0	19	0	3
f3_DEW118_bcFHKF	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcFLVZ	40	0	8	26	26	26	49	65	0	3
f3_DEW118_bcFOFV	29	32	31	62	64	61	0	70	35	23
f3_DEW118_bcFPRA	26	17	20	36	38	37	33	41	20	13
f3_DEW118_bcFSXR	0	0	9	79	81	80	68	91	0	7
f3_DEW118_bcFWVM	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcFYUK	0	0	9	0	0	0	0	0	0	7
f3_DEW118_bcGCBQ	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcGCPL	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcGJJM	23	15	19	34	36	35	31	38	18	10
f3_DEW118_bcGKFC	33	24	24	47	97	100	84	110	0	14
f3_DEW118_bcGNZT	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcGOEN	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcGRKP	34	25	8	52	43	49	0	52	0	3
f3_DEW118_bcGSTN	45	56	7	18	98	101	85	111	55	39
f3_DEW118_bcGTHD	67	57	53	96	99	102	37	46	0	26
f3_DEW118_bcGUCP	4	4	5	5	5	5	5	5	3	5
f3_DEW118_bcHDCJ	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcHEJC	32	0	54	97	100	103	86	112	56	13
f3_DEW118_bcHIGX	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcHKYY	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcHRYV	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcHSDV	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcHVSJ	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcIATC	9	7	8	16	15	16	15	17	8	3
f3_DEW118_bcICUV	22	0	8	18	33	32	28	35	15	13
f3_DEW118_bcIDKL	0	0	3	15	14	15	14	16	0	3
f3_DEW118_bcIFQN	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcIGVW	0	0	3	11	0	11	11	11	6	3
f3_DEW118_bcIGYK	5	5	6	6	6	6	6	6	4	7
f3_DEW118_bcIINC	2	2	2	2	2	2	2	2	2	2
f3_DEW118_bcIIZK	29	0	8	40	42	41	36	45	23	23
f3_DEW119_bcBHFO	16	0	9	15	14	15	14	16	0	16
f3_DEW119_bcBSLY	5	5	6	6	6	6	6	6	4	7
f3_DEW119_bcBUJO	0	0	55	98	101	104	87	0	57	3
f3_DEW119_bcDKCU	9	7	8	16	15	16	15	17	8	3
f3_DEW119_bcFSBM	5	5	6	6	6	6	6	6	4	7
f3_DEW119_bcFZJV	2	2	2	2	2	2	2	2	2	2
f3_DEW119_bcGGDZ	0	0	3	11	0	11	11	11	6	3
f3_DEW119_bcGGFN	17	11	15	25	25	25	22	27	0	18
f3_DEW119_bcGSTO	4	4	5	5	5	5	5	5	3	5
f3_DEW119_bcHCJF	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcAKVE	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcARHL	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcAVZA	29	0	8	40	42	41	36	45	23	23
f3_DEW120_bcAXAH	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcAXZC	0	0	3	32	34	33	29	36	16	3
f3_DEW120_bcAZSI	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcBCDQ	14	0	8	0	66	52	44	60	31	3
f3_DEW120_bcBJYX	0	58	56	99	102	105	0	81	0	19
f3_DEW120_bcBMAB	0	0	3	0	0	0	0	0	0	3
f3_DEW120_bcBMRV	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcBOYA	26	17	20	36	38	37	33	41	20	13
f3_DEW120_bcBUZC	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcCDFQ	11	0	9	12	11	12	12	12	0	10
f3_DEW120_bcCEQC	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcCJZD	0	0	9	12	11	12	12	12	0	10
f3_DEW120_bcCOGH	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcCOJD	23	15	19	34	36	35	31	38	18	10
f3_DEW120_bcCULL	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcCVAA	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcCWBD	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcDMVX	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcDNVM	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcEGOS	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcEKKV	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcELUV	26	17	20	36	38	37	33	41	20	13
f3_DEW120_bcENCB	34	25	8	48	49	45	0	52	0	3
f3_DEW120_bcEOMP	65	0	7	92	92	95	81	105	0	14
f3_DEW120_bcEVCO	31	0	8	18	0	8	8	8	0	13
f3_DEW120_bcEWYW	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcEYKO	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcFARO	13	59	57	100	43	106	0	113	0	12
f3_DEW120_bcFCXN	49	35	34	64	66	52	44	60	31	3
f3_DEW120_bcFDWR	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcFFXG	0	0	9	0	0	0	0	74	0	7
f3_DEW120_bcFILR	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcFIQR	0	0	3	101	103	107	88	114	58	3
f3_DEW120_bcFKYZ	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcFLAB	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcFMCN	0	0	8	0	0	0	0	19	0	3
f3_DEW120_bcFONW	0	0	9	0	29	28	24	31	0	0
f3_DEW120_bcFQIK	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcFQXS	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcGCRR	0	0	3	46	47	44	40	50	26	3
f3_DEW120_bcGELS	0	0	9	79	81	80	68	91	0	7
f3_DEW120_bcGEOC	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcGFCK	26	17	20	36	38	37	33	41	20	13
f3_DEW120_bcGGFJ	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcGGPO	29	10	13	23	104	108	0	81	0	23
f3_DEW120_bcGISV	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcGMBI	0	0	3	11	0	11	11	11	6	3
f3_DEW120_bcGSJO	0	0	9	73	75	0	0	22	0	10
f3_DEW120_bcGXOW	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcGZVY	0	0	9	12	11	12	12	12	0	10
f3_DEW120_bcHBTC	0	0	9	79	81	80	68	91	0	7
f3_DEW120_bcHCOE	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcHFRV	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcHJJD	46	0	8	64	66	52	44	60	31	13
f3_DEW120_bcHPYS	5	5	6	6	6	6	6	6	4	7
f3_DEW120_bcHRYM	14	0	8	91	105	109	89	115	59	3
f3_DEW120_bcHSDO	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcIEHP	2	2	2	2	2	2	2	2	2	2
f3_DEW120_bcIFHN	11	0	9	12	11	12	12	12	0	10
f3_DEW120_bcIJRE	0	0	9	12	11	12	12	12	0	10
f3_DEW121_bcBUZC	2	2	2	2	2	2	2	2	2	2
f3_DEW121_bcEOSG	0	0	3	11	0	11	11	11	6	3
f3_DEW121_bcESEJ	0	0	9	20	20	20	0	22	0	10
f3_DEW121_bcHMVI	0	0	3	11	0	11	11	11	6	3
f3_DEW121_bcICOG	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcAACI	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcAERX	0	0	7	20	20	20	0	49	0	35
f3_DEW122_bcAKJE	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcARYF	53	38	36	69	71	71	59	80	40	29
f3_DEW122_bcAYCV	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcBDCR	38	30	29	55	55	53	45	61	32	25
f3_DEW122_bcBFUE	9	7	8	16	15	16	15	17	8	3
f3_DEW122_bcBLYV	16	0	7	64	66	52	44	60	31	16
f3_DEW122_bcBSLY	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcBTMV	68	0	9	102	106	0	56	73	0	0
f3_DEW122_bcBVWA	29	0	8	0	0	0	0	39	0	23
f3_DEW122_bcCGHY	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcCJJF	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcCJRO	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcCKPQ	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcCKZS	0	0	3	45	46	110	90	116	0	3
f3_DEW122_bcCPUV	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcCRON	22	0	8	18	33	32	28	35	15	13
f3_DEW122_bcCVFY	60	45	8	80	82	82	69	92	46	3
f3_DEW122_bcCWNN	0	0	9	0	0	0	0	74	0	7
f3_DEW122_bcCXLN	55	35	34	64	66	52	44	60	31	31
f3_DEW122_bcDDWH	0	60	58	103	107	111	91	117	60	7
f3_DEW122_bcDHTG	14	19	8	104	108	112	92	118	61	3
f3_DEW122_bcDIEO	46	0	8	64	66	52	44	60	31	13
f3_DEW122_bcDILI	11	0	9	12	11	12	12	12	0	10
f3_DEW122_bcDKTK	29	0	8	0	0	0	0	39	0	23
f3_DEW122_bcDNYP	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcDSHK	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcDUYA	17	11	15	25	25	25	22	27	0	18
f3_DEW122_bcDYNK	16	0	9	15	14	15	14	16	0	16
f3_DEW122_bcEFFA	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcEFMJ	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcEGPE	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcEHJV	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcEIAN	31	56	8	0	0	0	0	0	0	13
f3_DEW122_bcEIMI	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcEKRA	17	11	15	25	25	25	22	27	0	18
f3_DEW122_bcEPAS	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcETWI	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcEVHV	0	0	9	12	11	12	12	12	0	10
f3_DEW122_bcFAEU	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcFPCS	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcFQVF	0	0	3	11	0	11	11	11	6	3
f3_DEW122_bcFRJS	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcFUTM	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcFVOQ	0	0	7	20	20	20	56	73	0	0
f3_DEW122_bcGBBE	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcGGIG	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcGHFD	0	0	3	3	3	3	3	3	0	3
f3_DEW122_bcGMTL	2	2	2	2	2	2	2	2	2	2
f3_DEW122_bcGNZP	0	0	3	15	14	15	14	16	0	3
f3_DEW122_bcGOCW	17	11	15	25	25	25	22	27	0	18
f3_DEW122_bcGRDO	27	18	21	59	60	58	51	67	0	22
f3_DEW122_bcGRPG	69	61	8	0	0	0	0	51	0	40
f3_DEW122_bcGSTO	4	4	5	5	5	5	5	5	3	5
f3_DEW122_bcGVCF	0	42	40	72	74	74	62	84	43	3
f3_DEW122_bcGWQO	5	5	6	6	6	6	6	6	4	7
f3_DEW122_bcHEES	0	0	3	58	59	57	50	66	0	3
f3_DEW122_bcHPVO	9	7	8	16	15	16	15	17	8	3
f3_DEW122_bcIEAM	0	42	3	105	109	113	93	119	62	3
f3_DEW122_bcIERB	0	0	8	0	0	0	0	0	0	13
f3_DEW122_bcIGZM	26	17	20	36	38	37	33	41	20	13
