V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16
cell_1347	10	0	2	0	0	2	0	0	2	0	0	2	2	2	0	0
cell_1647	0	6	0	0	0	0	2	0	0	0	2	0	2	2	0	5
cell_1880	2	0	57	0	0	0	0	0	0	0	0	0	2	2	0	2
cell_477	28	2	0	5	4	2	0	0	2	0	0	2	0	0	5	0
cell_592	0	40	0	5	0	3	0	0	0	3	0	7	2	0	0	2
cell_179	0	2	0	5	0	0	2	0	3	0	0	0	0	0	0	0
cell_210	0	2	0	5	0	0	19	2	0	4	5	2	0	2	0	0
cell_426	28	2	0	5	0	2	0	0	2	0	29	0	0	0	0	0
cell_1154	0	0	12	2	3	0	0	0	0	0	0	0	2	2	0	21
cell_443	28	2	0	5	0	2	0	0	2	0	0	2	0	0	5	0
cell_1232	0	2	0	0	0	34	5	2	0	5	0	0	2	2	0	0
cell_1564	2	0	0	0	0	0	2	0	20	0	0	0	2	2	0	0
cell_1437	0	0	0	0	9	2	14	2	2	0	2	0	2	2	3	0
cell_977	0	4	0	5	0	3	2	0	15	0	0	0	0	0	0	50
cell_999	0	0	0	5	0	0	2	2	15	0	0	0	0	0	0	0
cell_1148	4	0	0	0	3	0	0	5	0	5	0	0	2	2	0	2
cell_62	4	2	0	5	2	21	0	0	0	0	0	0	2	0	0	0
cell_2027	2	0	0	0	4	0	3	4	0	0	2	2	2	2	0	0
cell_1721	0	0	0	0	0	0	2	0	3	0	0	2	2	2	2	0
cell_1275	0	2	2	0	0	2	5	4	0	2	0	0	2	2	0	0
cell_108	0	2	2	5	0	21	0	2	0	0	0	2	0	0	2	0
cell_103	3	2	0	5	0	21	0	2	0	0	0	5	0	0	2	0
cell_151	2	2	0	5	3	0	2	0	0	0	0	0	0	0	0	0
cell_301	28	2	0	5	0	2	2	0	0	5	2	3	2	0	0	0
cell_1520	0	0	0	0	4	0	0	0	2	0	0	0	2	2	2	0
cell_1580	0	0	0	0	0	0	2	0	2	0	0	0	2	2	2	0
cell_2014	2	120	2	0	0	0	3	0	0	2	0	0	2	2	2	2
cell_562	0	0	0	5	0	3	0	0	6	10	0	0	2	0	5	0
cell_82	0	2	0	5	0	21	0	2	0	0	0	0	0	0	0	0
cell_460	28	2	0	5	4	2	0	0	2	0	0	0	12	0	2	0
cell_492	28	2	2	5	0	2	0	0	2	0	0	0	0	0	0	0
cell_1506	0	0	0	0	0	0	0	0	2	0	0	10	2	2	0	0
cell_1531	0	0	0	0	0	0	0	12	2	0	0	0	2	2	0	0
cell_281	28	2	0	5	2	2	0	0	0	0	0	2	0	0	0	2
cell_749	0	0	0	5	2	0	0	0	0	0	0	0	0	0	4	0
cell_1440	0	0	0	0	9	2	14	2	2	0	2	2	2	2	3	0
cell_830	2	9	2	5	0	0	2	0	5	0	0	3	0	6	0	0
cell_1747	0	0	2	0	5	5	2	0	2	2	2	2	2	2	5	0
cell_975	0	0	0	5	0	3	2	2	15	5	0	0	0	0	0	0
cell_1131	0	0	0	0	10	0	2	0	0	5	0	0	2	2	0	2
