"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"cell_250","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_1010","2","14","2","0","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_613","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_752","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_537","2","14","2","-","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_285","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_401","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_711","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_710","2","14","2","3","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_862","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_658","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_737","5","14","2","5","-","-","-","-","-","-","-","-","-","3","11","5"
"cell_648","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_1023","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_486","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_938","2","14","2","12","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_890","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_41","-","-","-","-","-","-","-","-","-","2","-","-","-","-","2","2"
"cell_672","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_669","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_296","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_426","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_236","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","5"
"cell_838","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_854","2","14","2","2","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_779","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
"cell_188","-","-","-","-","-","-","-","-","-","3","-","-","-","-","2","2"
"cell_396","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"cell_827","2","14","2","3","-","-","-","-","-","-","-","-","-","-","-","2"
